region_id,region_label,prefix,maker,maker_zh,maker_ja,maker_en,label_ja,code_read,pad,format,dmm_digit,status,notes,sources
japan_censored,日本有码,MDP,MOODYZ / 慕迪斯,MOODYZ / 慕迪斯,ムーディーズ,MOODYZ,,std3_dmm,3,{prefix}-{num},,active,历史扩前缀 movieCount=45,bitmagnet|ippa|local-db|maker-norm
japan_censored,日本有码,MDQ,MOODYZ / 慕迪斯,MOODYZ / 慕迪斯,ムーディーズ,MOODYZ,,std3_dmm,3,{prefix}-{num},,active,历史扩前缀 movieCount=8,ippa|maker-norm
japan_censored,日本有码,MDR,MOODYZ / 慕迪斯,MOODYZ / 慕迪斯,ムーディーズ,MOODYZ,,std3_dmm,3,{prefix}-{num},,active,历史扩前缀 movieCount=7,bitmagnet|ippa|local-db|maker-norm
japan_censored,日本有码,MDS,Uchu Kikaku / 宇宙企划,宇宙企划,宇宙企画,Uchu Kikaku,,std3_dmm,3,{prefix}-{num},,active,宇宙企画主线（勿与国产 MDS 混淆） · 本地库确认,bitmagnet|catalog-sync|dmm|local-db|sehua
japan_censored,日本有码,MDTM,宇宙企画,,宇宙企画,,,std3_dmm,3,{prefix}-{num},,active,本地库高频确认(≥100帖) · 用户确认,local-db|manual|sehua
japan_censored,日本有码,MDUD,MOODYZ / 慕迪斯,MOODYZ / 慕迪斯,ムーディーズ,MOODYZ,,std3_dmm,3,{prefix}-{num},,active,历史扩前缀 movieCount=20,bitmagnet|ippa|local-db|maker-norm
japan_censored,日本有码,MDV,MOODYZ / 慕迪斯,MOODYZ / 慕迪斯,ムーディーズ,MOODYZ,,std3_dmm,3,{prefix}-{num},,active,历史扩前缀 movieCount=13,bitmagnet|ippa|local-db|maker-norm
japan_censored,日本有码,MDVR,MOODYZ / 慕迪斯,MOODYZ / 慕迪斯,ムーディーズ,MOODYZ,,std3_dmm,3,{prefix}-{num},,active,VR · 本地库确认,bitmagnet|catalog-sync|dmm|local-db|sehua
japan_censored,日本有码,MDW,MOODYZ / 慕迪斯,MOODYZ / 慕迪斯,ムーディーズ,MOODYZ,,std3_dmm,3,{prefix}-{num},,active,历史扩前缀 movieCount=11,ippa|maker-norm
japan_censored,日本有码,MDY,MOODYZ / 慕迪斯,MOODYZ / 慕迪斯,ムーディーズ,MOODYZ,,std3_dmm,3,{prefix}-{num},,active,历史扩前缀 movieCount=17,bitmagnet|ippa|local-db|maker-norm
japan_censored,日本有码,MDYD,Tameike Goro / 溜池五郎,溜池五郎,溜池ゴロー,Tameike Goro,,std3_dmm,3,{prefix}-{num},,active,极早历史号（也见于溜池） · 本地库确认,bitmagnet|catalog-sync|dmm|local-db|sehua
japan_censored,日本有码,MEKO,熟女LABO,,熟女LABO,,,std3_dmm,3,{prefix}-{num},,active,本地库高频确认(≥100帖) · 用户确认,local-db|manual|sehua
japan_censored,日本有码,MESU,センタービレッジ,,センタービレッジ,,,std3_dmm,3,{prefix}-{num},,active,本地库高频确认(≥100帖) · 用户确认,local-db|manual|sehua
japan_censored,日本有码,MEYD,Tameike Goro / 溜池五郎,溜池五郎,溜池ゴロー,Tameike Goro,,std3_open,3,{prefix}-{num},,active,现行主线 · 本地库确认,bitmagnet|catalog-sync|dmm|local-db|sehua
japan_censored,日本有码,MFYD,Tameike Goro / 溜池五郎,溜池五郎,溜池ゴロー,Tameike Goro,,std3_dmm,3,{prefix}-{num},,active,旁支 · 本地库确认,bitmagnet|catalog-sync|dmm|local-db|sehua
japan_censored,日本有码,MGOLD,Million / 百万,Million / 百万,ミリオン,Million,,std3_dmm,3,{prefix}-{num},1,active,金色系列 · 本地库确认,bitmagnet|catalog-sync|dmm|local-db|sehua
japan_censored,日本有码,MIAA,MOODYZ / 慕迪斯,MOODYZ / 慕迪斯,ムーディーズ,MOODYZ,,std3_open,3,{prefix}-{num},,active,非专属上一代 · 本地库确认,bitmagnet|catalog-sync|dmm|local-db|sehua
japan_censored,日本有码,MIAB,MOODYZ / 慕迪斯,MOODYZ / 慕迪斯,ムーディーズ,MOODYZ,,std3_dmm,3,{prefix}-{num},,active,非专属企划现行 · 本地库确认,bitmagnet|catalog-sync|dmm|local-db|sehua
japan_censored,日本有码,MIAD,MOODYZ / 慕迪斯,MOODYZ / 慕迪斯,ムーディーズ,MOODYZ,,std3_dmm,3,{prefix}-{num},,active,早期 Acid · 本地库确认,bitmagnet|catalog-sync|dmm|local-db|sehua
japan_censored,日本有码,MIAE,MOODYZ / 慕迪斯,MOODYZ / 慕迪斯,ムーディーズ,MOODYZ,,std3_dmm,3,{prefix}-{num},,active,Acid 更早 · 本地库确认,bitmagnet|catalog-sync|dmm|local-db|sehua
japan_censored,日本有码,MIAS,MOODYZ / 慕迪斯,MOODYZ / 慕迪斯,ムーディーズ,MOODYZ,,std3_dmm,3,{prefix}-{num},,active,历史扩前缀 movieCount=11,bitmagnet|ippa|local-db|maker-norm
japan_censored,日本有码,MIBB,ミル,,ミル,,,std3_dmm,3,{prefix}-{num},,active,本地库高频确认(≥100帖),bitmagnet|catalog-sync|dmm|local-db|sehua
japan_censored,日本有码,MIBD,MOODYZ / 慕迪斯,MOODYZ / 慕迪斯,ムーディーズ,MOODYZ,,std3_dmm,3,{prefix}-{num},,active,旧作精选 · 本地库确认,bitmagnet|catalog-sync|dmm|local-db|sehua
japan_censored,日本有码,MID,MOODYZ / 慕迪斯,MOODYZ / 慕迪斯,ムーディーズ,MOODYZ,,std3_dmm,3,{prefix}-{num},,active,历史扩前缀 movieCount=5,bitmagnet|ippa|local-db|maker-norm
japan_censored,日本有码,MIDA,MOODYZ / 慕迪斯,MOODYZ / 慕迪斯,ムーディーズ,MOODYZ,,std3_dmm,3,{prefix}-{num},,active,专属现行 · 本地库确认,bitmagnet|catalog-sync|dmm|local-db|sehua
japan_censored,日本有码,MIDD,MOODYZ / 慕迪斯,MOODYZ / 慕迪斯,ムーディーズ,MOODYZ,,std3_dmm,3,{prefix}-{num},,active,早期专属 · 本地库确认,bitmagnet|catalog-sync|dmm|local-db|sehua
japan_censored,日本有码,MIDE,MOODYZ / 慕迪斯,MOODYZ / 慕迪斯,ムーディーズ,MOODYZ,,std3_open,3,{prefix}-{num},,active,更早专属 · 本地库确认,bitmagnet|catalog-sync|dmm|local-db|sehua
japan_censored,日本有码,MIDV,MOODYZ / 慕迪斯,MOODYZ / 慕迪斯,ムーディーズ,MOODYZ,,std3_open,3,{prefix}-{num},,active,专属上一代 · 本地库确认,bitmagnet|catalog-sync|dmm|local-db|sehua
japan_censored,日本有码,MIFD,MOODYZ / 慕迪斯,MOODYZ / 慕迪斯,ムーディーズ,MOODYZ,,std3_dmm,3,{prefix}-{num},,active,新人出道 · 本地库确认,bitmagnet|catalog-sync|dmm|local-db|sehua
japan_censored,日本有码,MIGD,MOODYZ / 慕迪斯,MOODYZ / 慕迪斯,ムーディーズ,MOODYZ,,std3_dmm,3,{prefix}-{num},,active,硬核企划 · 本地库确认,bitmagnet|catalog-sync|dmm|local-db|sehua
japan_censored,日本有码,MIHD,MOODYZ / 慕迪斯,MOODYZ / 慕迪斯,ムーディーズ,MOODYZ,,std3_dmm,3,{prefix}-{num},,active,历史扩前缀 movieCount=12,bitmagnet|ippa|local-db|maker-norm
japan_censored,日本有码,MIID,MOODYZ / 慕迪斯,MOODYZ / 慕迪斯,ムーディーズ,MOODYZ,,std3_dmm,3,{prefix}-{num},,active,历史扩前缀 movieCount=189；集团:WILL集团（原CA/北都集团）；IPPA:010054,bitmagnet|ippa|local-db|maker-norm
japan_censored,日本有码,MIKR,Other Censored / 其他有码,Other Censored / 其他有码,その他有码,Other Censored,,std3_dmm,3,{prefix}-{num},,active,本地库确认,bitmagnet|catalog-sync|dmm|local-db|sehua
japan_censored,日本有码,MILD,Million / 百万,Million / 百万,ミリオン,Million,,std3_dmm,3,{prefix}-{num},,active,较早主线 · 本地库确认,bitmagnet|catalog-sync|dmm|local-db|sehua
japan_censored,日本有码,MILK,MILK / ミルク,MILK,ミルク,MILK,,std3_dmm,3,{prefix}-{num},,active,,av-makers|bitmagnet|local-db|maker-norm
japan_censored,日本有码,MIMK,MOODYZ / 慕迪斯,MOODYZ / 慕迪斯,ムーディーズ,MOODYZ,,std3_open,3,{prefix}-{num},,active,漫画/黄油改编 · 本地库确认,bitmagnet|catalog-sync|dmm|local-db|sehua
japan_censored,日本有码,MIMU,MOODYZ / 慕迪斯,MOODYZ / 慕迪斯,ムーディーズ,MOODYZ,,std3_dmm,3,{prefix}-{num},,active,历史扩前缀 movieCount=25,bitmagnet|ippa|local-db|maker-norm
japan_censored,日本有码,MINT,MOODYZ / 慕迪斯,MOODYZ / 慕迪斯,ムーディーズ,MOODYZ,,std3_dmm,3,{prefix}-{num},,active,历史扩前缀 movieCount=9,bitmagnet|ippa|local-db|maker-norm
